degree,probability,scale
1,0.06829684087155886,linear
2,0.09163070694156121,linear
3,0.08507804592190302,linear
4,0.06744446220233503,linear
5,0.05247456182409153,linear
6,0.04315167012945589,linear
7,0.0375579351126745,linear
8,0.0300463480901395,linear
9,0.027222843748335564,linear
10,0.025571360076714393,linear
11,0.021948750732513116,linear
12,0.023760055404613754,linear
13,0.016941026050823114,linear
14,0.015449363379681417,linear
15,0.015449363379681417,linear
16,0.014224069042672201,linear
17,0.015555910713334392,linear
18,0.015289542379201954,linear
19,0.013904427041713276,linear
20,0.01086782803260348,linear
21,0.010121996697032653,linear
22,0.012199669703265671,linear
23,0.010281817697512116,linear
24,0.00815087102445261,linear
25,0.008310692024932073,linear
26,0.008097597357626123,linear
27,0.008097597357626123,linear
28,0.008363965691758561,linear
29,0.008363965691758561,linear
30,0.00815087102445261,linear
31,0.00745831335570827,linear
32,0.0071386713547493446,linear
33,0.005327366682648765,linear
34,0.0052208193489957895,linear
35,0.0065526610196579805,linear
36,0.006233019018699055,linear
37,0.005274093015822277,linear
38,0.005114272015342814,linear
39,0.005753556017260666,linear
40,0.005327366682648765,linear
41,0.00543391401630174,linear
42,0.005114272015342814,linear
43,0.004581535347077938,linear
44,0.0043151670129455,linear
45,0.005487187683128228,linear
46,0.004794630014383888,linear
47,0.004688082680730913,linear
48,0.005007724681689839,linear
49,0.0034095146768952094,linear
50,0.0032496936764157464,linear
51,0.004901177348036864,linear
52,0.0038357040115071105,linear
53,0.003888977678333598,linear
54,0.0026636833413243824,linear
55,0.0025038623408449195,linear
56,0.0028235043418038453,linear
57,0.0022374940067124813,linear
58,0.002130946673059506,linear
59,0.002450588674018432,linear
60,0.0018645783389270676,linear
61,0.002876778008630333,linear
62,0.0019178520057535552,linear
63,0.0017580310052740923,linear
64,0.0020776730062330184,linear
65,0.0019178520057535552,linear
66,0.002290767673538969,linear
67,0.0017047573384476047,linear
68,0.0021842203398859937,linear
69,0.002557136007671407,linear
70,0.0017580310052740923,linear
71,0.001225294337009216,linear
72,0.00181130467210058,linear
