degree,probability,scale
1,0.22839152833428866,linear
2,0.2127456592253399,linear
3,0.1482541499713803,linear
4,0.09444762449914186,linear
5,0.056477771417668625,linear
6,0.042930738408700785,linear
7,0.03033772180881519,linear
8,0.027094066017935566,linear
9,0.018889524899828283,linear
10,0.017553901927113143,linear
11,0.01259301659988551,linear
12,0.008586147681740128,linear
13,0.010875787063537489,linear
14,0.007250524709025,linear
15,0.009158557527189469,linear
16,0.004770082045411181,linear
17,0.008395344399923682,linear
18,0.0038160656363289435,linear
19,0.003434459072696049,linear
20,0.005342491890860524,linear
21,0.003052852509063155,linear
22,0.0022896393817973663,linear
23,0.008395344399923682,linear
24,0.0015264262545315777,linear
25,0.0015264262545315777,linear
26,0.0013356229727151305,linear
27,0.0005724098454493417,linear
28,0.0009540164090822362,linear
29,0.0005724098454493417,linear
30,0.0015264262545315777,linear
31,0.0017172295363480248,linear
32,0.0005724098454493417,linear
33,0.0017172295363480248,linear
34,0.007059721427208552,linear
35,0.00019080328181644724,linear
36,0.00038160656363289447,linear
37,0.0009540164090822362,linear
38,0.00019080328181644724,linear
40,0.00019080328181644724,linear
41,0.0005724098454493417,linear
42,0.0036252623545124964,linear
43,0.00038160656363289447,linear
44,0.00019080328181644724,linear
45,0.0024804426636138134,linear
46,0.00038160656363289447,linear
47,0.0007632131272657889,linear
48,0.0005724098454493417,linear
49,0.0007632131272657889,linear
51,0.00038160656363289447,linear
53,0.00019080328181644724,linear
54,0.00019080328181644724,linear
55,0.00019080328181644724,linear
56,0.0005724098454493417,linear
57,0.00019080328181644724,linear
59,0.00019080328181644724,linear
60,0.00019080328181644724,linear
62,0.00019080328181644724,linear
63,0.00019080328181644724,linear
65,0.00019080328181644724,linear
66,0.00019080328181644724,linear
67,0.00019080328181644724,linear
68,0.00038160656363289447,linear
77,0.00038160656363289447,linear
79,0.00019080328181644724,linear
81,0.00019080328181644724,linear
