degree,probability,scale
1,0.22839152833428866,loglog
2,0.2127456592253399,loglog
3,0.1482541499713803,loglog
4,0.09444762449914186,loglog
5,0.056477771417668625,loglog
6,0.042930738408700785,loglog
7,0.03033772180881519,loglog
8,0.027094066017935566,loglog
9,0.018889524899828283,loglog
10,0.017553901927113143,loglog
11,0.01259301659988551,loglog
12,0.008586147681740128,loglog
13,0.010875787063537489,loglog
14,0.007250524709025,loglog
15,0.009158557527189469,loglog
16,0.004770082045411181,loglog
17,0.008395344399923682,loglog
18,0.0038160656363289435,loglog
19,0.003434459072696049,loglog
20,0.005342491890860524,loglog
21,0.003052852509063155,loglog
22,0.0022896393817973663,loglog
23,0.008395344399923682,loglog
24,0.0015264262545315777,loglog
25,0.0015264262545315777,loglog
26,0.0013356229727151305,loglog
27,0.0005724098454493417,loglog
28,0.0009540164090822362,loglog
29,0.0005724098454493417,loglog
30,0.0015264262545315777,loglog
31,0.0017172295363480248,loglog
32,0.0005724098454493417,loglog
33,0.0017172295363480248,loglog
34,0.007059721427208552,loglog
35,0.00019080328181644724,loglog
36,0.00038160656363289447,loglog
37,0.0009540164090822362,loglog
38,0.00019080328181644724,loglog
40,0.00019080328181644724,loglog
41,0.0005724098454493417,loglog
42,0.0036252623545124964,loglog
43,0.00038160656363289447,loglog
44,0.00019080328181644724,loglog
45,0.0024804426636138134,loglog
46,0.00038160656363289447,loglog
47,0.0007632131272657889,loglog
48,0.0005724098454493417,loglog
49,0.0007632131272657889,loglog
51,0.00038160656363289447,loglog
53,0.00019080328181644724,loglog
54,0.00019080328181644724,loglog
55,0.00019080328181644724,loglog
56,0.0005724098454493417,loglog
57,0.00019080328181644724,loglog
59,0.00019080328181644724,loglog
60,0.00019080328181644724,loglog
62,0.00019080328181644724,loglog
63,0.00019080328181644724,loglog
65,0.00019080328181644724,loglog
66,0.00019080328181644724,loglog
67,0.00019080328181644724,loglog
68,0.00038160656363289447,loglog
77,0.00038160656363289447,loglog
79,0.00019080328181644724,loglog
81,0.00019080328181644724,loglog
