degree,probability,scale
1,0.8526427404333441,linear
2,0.0820085355591585,linear
3,0.023995411476589103,linear
4,0.011527910372854923,linear
5,0.006403556105641822,linear
6,0.003947035761049565,linear
7,0.00277349071163619,linear
8,0.0020376666452837553,linear
9,0.0014905154164575594,linear
10,0.001199959246667094,linear
11,0.001011286409140818,linear
12,0.0007358240663524617,linear
13,0.0006528080178409025,linear
14,0.0005811123395809196,linear
15,0.0004414944398114786,linear
16,0.0003811191318030711,linear
17,0.00030187654004203623,linear
18,0.0003056499967925617,linear
19,0.0003169703670441381,linear
20,0.00025282160228520513,linear
21,0.0002905561697904598,linear
22,0.00016980555377364533,linear
23,0.000158485183522069,linear
24,0.00015093827002101812,linear
25,0.000158485183522069,linear
26,0.00015471172677154356,linear
27,0.00012829752951786546,linear
28,0.00012452407276734002,linear
29,9.056296201261092e-05,linear
30,0.00011320370251576365,linear
31,7.54691350105091e-05,linear
32,0.00010188333226418729,linear
33,6.037530800840728e-05,linear
34,7.169567825998364e-05,linear
35,5.660185125788183e-05,linear
36,8.678950526208547e-05,linear
37,7.924259176103455e-05,linear
38,8.301604851156001e-05,linear
39,7.54691350105091e-05,linear
40,6.037530800840728e-05,linear
41,9.433641876313638e-05,linear
42,7.169567825998364e-05,linear
43,3.0187654004203638e-05,linear
44,7.924259176103455e-05,linear
45,5.660185125788183e-05,linear
46,6.414876475893273e-05,linear
47,5.282839450735637e-05,linear
48,4.9054937756830916e-05,linear
49,4.9054937756830916e-05,linear
50,4.9054937756830916e-05,linear
51,3.3961110754729094e-05,linear
52,4.9054937756830916e-05,linear
53,3.773456750525455e-05,linear
54,4.1508024255780005e-05,linear
55,7.546913501050908e-06,linear
56,2.6414197253678182e-05,linear
57,2.2640740503152727e-05,linear
58,3.3961110754729094e-05,linear
59,2.6414197253678182e-05,linear
60,1.1320370251576362e-05,linear
61,3.3961110754729094e-05,linear
62,2.2640740503152727e-05,linear
63,1.886728375262727e-05,linear
64,2.6414197253678182e-05,linear
65,3.773456750525455e-05,linear
66,3.773456750525455e-05,linear
67,7.546913501050908e-06,linear
68,7.546913501050908e-06,linear
69,4.1508024255780005e-05,linear
70,3.0187654004203638e-05,linear
71,2.2640740503152727e-05,linear
72,3.773456750525454e-06,linear
73,3.0187654004203638e-05,linear
74,1.886728375262727e-05,linear
75,2.2640740503152727e-05,linear
76,1.886728375262727e-05,linear
77,1.5093827002101816e-05,linear
78,1.886728375262727e-05,linear
79,2.6414197253678182e-05,linear
80,1.5093827002101816e-05,linear
81,1.886728375262727e-05,linear
82,1.1320370251576362e-05,linear
83,2.6414197253678182e-05,linear
84,1.5093827002101816e-05,linear
85,1.1320370251576362e-05,linear
86,1.886728375262727e-05,linear
87,1.5093827002101816e-05,linear
88,1.1320370251576362e-05,linear
89,3.773456750525454e-06,linear
