degree,probability,scale
1,0.8526427404333441,loglog
2,0.0820085355591585,loglog
3,0.023995411476589103,loglog
4,0.011527910372854923,loglog
5,0.006403556105641822,loglog
6,0.003947035761049565,loglog
7,0.00277349071163619,loglog
8,0.0020376666452837553,loglog
9,0.0014905154164575594,loglog
10,0.001199959246667094,loglog
11,0.001011286409140818,loglog
12,0.0007358240663524617,loglog
13,0.0006528080178409025,loglog
14,0.0005811123395809196,loglog
15,0.0004414944398114786,loglog
16,0.0003811191318030711,loglog
17,0.00030187654004203623,loglog
18,0.0003056499967925617,loglog
19,0.0003169703670441381,loglog
20,0.00025282160228520513,loglog
21,0.0002905561697904598,loglog
22,0.00016980555377364533,loglog
23,0.000158485183522069,loglog
24,0.00015093827002101812,loglog
25,0.000158485183522069,loglog
26,0.00015471172677154356,loglog
27,0.00012829752951786546,loglog
28,0.00012452407276734002,loglog
29,9.056296201261092e-05,loglog
30,0.00011320370251576365,loglog
31,7.54691350105091e-05,loglog
32,0.00010188333226418729,loglog
33,6.037530800840728e-05,loglog
34,7.169567825998364e-05,loglog
35,5.660185125788183e-05,loglog
36,8.678950526208547e-05,loglog
37,7.924259176103455e-05,loglog
38,8.301604851156001e-05,loglog
39,7.54691350105091e-05,loglog
40,6.037530800840728e-05,loglog
41,9.433641876313638e-05,loglog
42,7.169567825998364e-05,loglog
43,3.0187654004203638e-05,loglog
44,7.924259176103455e-05,loglog
45,5.660185125788183e-05,loglog
46,6.414876475893273e-05,loglog
47,5.282839450735637e-05,loglog
48,4.9054937756830916e-05,loglog
49,4.9054937756830916e-05,loglog
50,4.9054937756830916e-05,loglog
51,3.3961110754729094e-05,loglog
52,4.9054937756830916e-05,loglog
53,3.773456750525455e-05,loglog
54,4.1508024255780005e-05,loglog
55,7.546913501050908e-06,loglog
56,2.6414197253678182e-05,loglog
57,2.2640740503152727e-05,loglog
58,3.3961110754729094e-05,loglog
59,2.6414197253678182e-05,loglog
60,1.1320370251576362e-05,loglog
61,3.3961110754729094e-05,loglog
62,2.2640740503152727e-05,loglog
63,1.886728375262727e-05,loglog
64,2.6414197253678182e-05,loglog
65,3.773456750525455e-05,loglog
66,3.773456750525455e-05,loglog
67,7.546913501050908e-06,loglog
68,7.546913501050908e-06,loglog
69,4.1508024255780005e-05,loglog
70,3.0187654004203638e-05,loglog
71,2.2640740503152727e-05,loglog
72,3.773456750525454e-06,loglog
73,3.0187654004203638e-05,loglog
74,1.886728375262727e-05,loglog
75,2.2640740503152727e-05,loglog
76,1.886728375262727e-05,loglog
77,1.5093827002101816e-05,loglog
78,1.886728375262727e-05,loglog
79,2.6414197253678182e-05,loglog
80,1.5093827002101816e-05,loglog
81,1.886728375262727e-05,loglog
82,1.1320370251576362e-05,loglog
83,2.6414197253678182e-05,loglog
84,1.5093827002101816e-05,loglog
85,1.1320370251576362e-05,loglog
86,1.886728375262727e-05,loglog
87,1.5093827002101816e-05,loglog
88,1.1320370251576362e-05,loglog
89,3.773456750525454e-06,loglog
90,2.6414197253678182e-05,loglog
91,7.546913501050908e-06,loglog
92,1.5093827002101816e-05,loglog
93,2.6414197253678182e-05,loglog
94,3.3961110754729094e-05,loglog
95,2.2640740503152727e-05,loglog
96,1.5093827002101816e-05,loglog
97,1.5093827002101816e-05,loglog
98,3.773456750525454e-06,loglog
99,1.5093827002101816e-05,loglog
100,1.5093827002101816e-05,loglog
101,3.3961110754729094e-05,loglog
102,3.0187654004203638e-05,loglog
103,1.886728375262727e-05,loglog
104,1.5093827002101816e-05,loglog
105,1.1320370251576362e-05,loglog
106,1.1320370251576362e-05,loglog
107,1.5093827002101816e-05,loglog
108,1.886728375262727e-05,loglog
109,1.1320370251576362e-05,loglog
110,1.5093827002101816e-05,loglog
111,1.1320370251576362e-05,loglog
112,7.546913501050908e-06,loglog
113,2.2640740503152727e-05,loglog
114,1.5093827002101816e-05,loglog
115,1.886728375262727e-05,loglog
116,1.886728375262727e-05,loglog
117,7.546913501050908e-06,loglog
118,3.0187654004203638e-05,loglog
119,1.1320370251576362e-05,loglog
120,1.5093827002101816e-05,loglog
121,3.773456750525454e-06,loglog
122,2.2640740503152727e-05,loglog
