degree,probability,scale
1,0.3253689388615564,linear
2,0.09009135628952855,linear
3,0.05439212930428658,linear
4,0.034434293745608,linear
5,0.023190442726633946,linear
6,0.022487702037948063,linear
7,0.019395643007730178,linear
8,0.015600843288826412,linear
9,0.012508784258608565,linear
10,0.015460295151089237,linear
11,0.01208713984539704,linear
12,0.013070976809557265,linear
13,0.008995080815179194,linear
14,0.009135628952916369,linear
15,0.00829234012649332,linear
16,0.00744905130007027,linear
17,0.006605762473647221,linear
18,0.007870695713281795,linear
19,0.004638088545326773,linear
20,0.006184118060435696,linear
21,0.005903021784961346,linear
22,0.0057624736472241716,linear
23,0.0039353478566408985,linear
24,0.005340829234012647,linear
25,0.0036542515811665483,linear
26,0.005340829234012647,linear
27,0.004356992269852423,linear
28,0.005481377371749822,linear
29,0.005200281096275472,linear
30,0.004497540407589598,linear
31,0.005059732958538297,linear
32,0.003092059030217849,linear
33,0.0039353478566408985,linear
34,0.0036542515811665483,linear
35,0.0028109627547434992,linear
36,0.003092059030217849,linear
37,0.004075895994378073,linear
38,0.0035137034434293735,linear
39,0.004075895994378073,linear
40,0.0035137034434293735,linear
41,0.003794799718903723,linear
42,0.003794799718903723,linear
43,0.0032326071679550238,linear
44,0.004216444132115248,linear
45,0.0039353478566408985,linear
46,0.0036542515811665483,linear
47,0.003794799718903723,linear
48,0.0039353478566408985,linear
49,0.003092059030217849,linear
50,0.003794799718903723,linear
51,0.0036542515811665483,linear
52,0.003794799718903723,linear
53,0.0022487702037948,linear
54,0.002951510892480674,linear
55,0.0036542515811665483,linear
56,0.0025298664792691495,linear
57,0.0039353478566408985,linear
58,0.0033731553056921986,linear
59,0.0023893183415319747,linear
60,0.003092059030217849,linear
61,0.0033731553056921986,linear
62,0.0018271257905832753,linear
63,0.0026704146170063244,linear
64,0.003092059030217849,linear
65,0.0018271257905832753,linear
66,0.0033731553056921986,linear
67,0.003092059030217849,linear
68,0.0009838369641602248,linear
69,0.0022487702037948,linear
70,0.003092059030217849,linear
71,0.002108222066057625,linear
72,0.002951510892480674,linear
73,0.0023893183415319747,linear
74,0.00140548137737175,linear
75,0.0025298664792691495,linear
76,0.0015460295151089251,linear
77,0.0018271257905832753,linear
78,0.00140548137737175,linear
79,0.002108222066057625,linear
80,0.0016865776528461002,linear
81,0.002108222066057625,linear
82,0.0007027406886858749,linear
83,0.0011243851018974,linear
84,0.0016865776528461002,linear
85,0.0015460295151089251,linear
86,0.00140548137737175,linear
87,0.0026704146170063244,linear
88,0.0009838369641602248,linear
89,0.0022487702037948,linear
90,0.0007027406886858749,linear
91,0.0011243851018974,linear
92,0.0011243851018974,linear
93,0.0015460295151089251,linear
94,0.0009838369641602248,linear
95,0.0008432888264230499,linear
96,0.00140548137737175,linear
97,0.00140548137737175,linear
98,0.00140548137737175,linear
99,0.0011243851018974,linear
100,0.001264933239634575,linear
101,0.0011243851018974,linear
102,0.000421644413211525,linear
103,0.00140548137737175,linear
104,0.0011243851018974,linear
105,0.001264933239634575,linear
106,0.0005621925509487,linear
107,0.0011243851018974,linear
108,0.0005621925509487,linear
109,0.001264933239634575,linear
110,0.0009838369641602248,linear
111,0.0008432888264230499,linear
112,0.001264933239634575,linear
113,0.0007027406886858749,linear
114,0.0016865776528461002,linear
115,0.001264933239634575,linear
116,0.0011243851018974,linear
117,0.0007027406886858749,linear
118,0.001264933239634575,linear
119,0.0011243851018974,linear
120,0.000421644413211525,linear
121,0.0008432888264230499,linear
122,0.0005621925509487,linear
123,0.0009838369641602248,linear
124,0.0009838369641602248,linear
125,0.0005621925509487,linear
126,0.0016865776528461002,linear
128,0.000421644413211525,linear
129,0.000421644413211525,linear
130,0.0007027406886858749,linear
131,0.00028109627547435,linear
132,0.00028109627547435,linear
133,0.0007027406886858749,linear
134,0.000421644413211525,linear
135,0.00028109627547435,linear
136,0.000421644413211525,linear
138,0.0007027406886858749,linear
139,0.0008432888264230499,linear
140,0.00028109627547435,linear
141,0.0005621925509487,linear
142,0.000421644413211525,linear
143,0.000421644413211525,linear
144,0.0011243851018974,linear
145,0.00028109627547435,linear
146,0.0007027406886858749,linear
147,0.0011243851018974,linear
148,0.000421644413211525,linear
149,0.000421644413211525,linear
150,0.0005621925509487,linear
152,0.000421644413211525,linear
