degree,probability,scale
1,0.5309228207201061,linear
2,0.1605767959885174,linear
3,0.08182290794695606,linear
4,0.04923472759475761,linear
5,0.0323670135431394,linear
6,0.023040999568229078,linear
7,0.01704129915674623,linear
8,0.01354492505881822,linear
9,0.010591334843025872,linear
10,0.008458969591767673,linear
11,0.006951334490568178,linear
12,0.005837570160985383,linear
13,0.004857739516605583,linear
14,0.004220673369225551,linear
15,0.003678770629752909,linear
16,0.0031315810342854127,linear
17,0.002772955969301079,linear
18,0.0024196177603116008,linear
19,0.0022046189498541625,linear
20,0.002013410991373572,linear
21,0.0018292521742194852,linear
22,0.0016627162103815924,linear
23,0.0014979425318753176,linear
24,0.001370176845333019,linear
25,0.001327881997374189,linear
26,0.0011375551815594545,linear
27,0.001106715188256141,linear
28,0.0009489906510763344,linear
29,0.000944584937747289,linear
30,0.0008406101031818194,linear
31,0.0007850981152358483,linear
32,0.0007207747006317866,linear
33,0.0007251804139608319,linear
34,0.0006661438553516246,linear
35,0.0006494021447012524,linear
36,0.0005639313061177731,linear
37,0.0005639313061177731,linear
38,0.0004714113262078224,linear
39,0.0005137061741666564,linear
40,0.00041589933826185473,linear
41,0.0004714113262078224,linear
42,0.00041678048092766375,linear
43,0.0003956330569482475,linear
44,0.0003797724889636853,linear
45,0.00033395307034161676,linear
46,0.00034893249566036994,linear
47,0.00033219078500999874,linear
48,0.0003207359303544816,linear
49,0.0002890147943853572,linear
50,0.00028284679572469415,linear
51,0.00030135079170668337,linear
52,0.0002528879450871878,linear
53,0.00024848223175814274,linear
54,0.00023438394910519855,linear
55,0.00021499881045740032,linear
56,0.0002379085197684346,linear
57,0.00025817480108204186,linear
58,0.00022028566645225438,linear
59,0.0002141176677915913,linear
60,0.0002044250984676922,linear
61,0.00022645366511291745,linear
62,0.0001956136718096021,linear
63,0.00016741710650371375,linear
64,0.00017622853316180386,linear
65,0.0001788719611592309,linear
66,0.00016565482117209573,linear
67,0.00014362625452687047,linear
68,0.00014803196785591552,linear
69,0.00013569597053458938,linear
70,0.00014803196785591552,linear
71,0.00013393368520297135,linear
72,0.00013393368520297135,linear
73,0.00014186396919525245,linear
74,0.00012512225854488125,linear
75,0.00012424111587907224,linear
76,0.00010926169056031887,linear
77,0.00010926169056031887,linear
78,0.00010573711989708278,linear
79,0.0001304091145397353,linear
80,0.0001066182625628918,linear
81,0.0001030936918996557,linear
82,0.0001101428332261279,linear
83,0.00010926169056031887,linear
84,9.075769457832937e-05,linear
85,8.194626792023913e-05,linear
86,9.075769457832937e-05,linear
87,8.194626792023913e-05,linear
88,8.987655191252034e-05,linear
89,7.049141326472181e-05,linear
90,7.401598392795791e-05,linear
91,5.815541594339548e-05,linear
92,9.604455057318351e-05,linear
93,6.784798526729474e-05,linear
94,9.075769457832937e-05,linear
95,6.520455726986767e-05,linear
96,7.489712659376693e-05,linear
97,6.872912793310377e-05,linear
98,7.577826925957596e-05,linear
99,7.489712659376693e-05,linear
100,9.075769457832937e-05,linear
101,7.401598392795791e-05,linear
102,5.2868559948541333e-05,linear
103,6.079884394082255e-05,linear
104,6.344227193824962e-05,linear
105,6.25611292724406e-05,linear
106,5.639313061177743e-05,linear
107,5.022513195111426e-05,linear
108,5.2868559948541333e-05,linear
109,5.2868559948541333e-05,linear
110,4.934398928530524e-05,linear
111,4.6700561287878165e-05,linear
112,4.405713329045109e-05,linear
113,3.70079919639789e-05,linear
114,4.6700561287878165e-05,linear
115,4.846284661949621e-05,linear
116,4.934398928530524e-05,linear
117,4.758170395368719e-05,linear
118,5.90365586092045e-05,linear
119,3.7889134629787925e-05,linear
120,5.1106274616923285e-05,linear
121,3.70079919639789e-05,linear
122,3.524570663236085e-05,linear
123,3.436456396655183e-05,linear
124,5.2868559948541333e-05,linear
125,3.172113596912476e-05,linear
126,3.083999330331573e-05,linear
127,2.6434279974270626e-05,linear
128,3.083999330331573e-05,linear
129,4.2294847958833045e-05,linear
130,3.7889134629787925e-05,linear
131,3.70079919639789e-05,linear
132,3.3483421300742805e-05,linear
133,2.7315422640079647e-05,linear
134,3.3483421300742805e-05,linear
135,3.3483421300742805e-05,linear
136,2.8196565305888667e-05,linear
137,2.026628131360748e-05,linear
138,2.9077707971697688e-05,linear
139,2.9077707971697688e-05,linear
140,2.7315422640079647e-05,linear
141,3.70079919639789e-05,linear
142,2.995885063750671e-05,linear
143,2.6434279974270626e-05,linear
144,3.172113596912476e-05,linear
145,3.877027729559695e-05,linear
146,3.260227863493378e-05,linear
147,2.3790851976843564e-05,linear
148,2.7315422640079647e-05,linear
149,2.9077707971697688e-05,linear
150,2.7315422640079647e-05,linear
151,2.6434279974270626e-05,linear
152,2.4671994642652585e-05,linear
153,2.026628131360748e-05,linear
154,2.3790851976843564e-05,linear
155,2.1147423979416502e-05,linear
156,2.1147423979416502e-05,linear
157,1.586056798456238e-05,linear
158,2.2028566645225523e-05,linear
159,2.7315422640079647e-05,linear
160,2.6434279974270626e-05,linear
161,2.026628131360748e-05,linear
162,2.5553137308461605e-05,linear
163,1.850399598198944e-05,linear
164,2.2028566645225523e-05,linear
165,1.850399598198944e-05,linear
166,2.2909709311034543e-05,linear
167,2.2028566645225523e-05,linear
168,2.2028566645225523e-05,linear
169,2.5553137308461605e-05,linear
170,1.762285331618042e-05,linear
171,2.2909709311034543e-05,linear
172,2.6434279974270626e-05,linear
173,1.3217139987135315e-05,linear
174,1.2335997321326294e-05,linear
175,1.67417106503714e-05,linear
176,2.7315422640079647e-05,linear
177,2.7315422640079647e-05,linear
178,1.67417106503714e-05,linear
179,1.762285331618042e-05,linear
180,1.4979425318753356e-05,linear
181,1.762285331618042e-05,linear
182,1.67417106503714e-05,linear
183,1.938513864779846e-05,linear
184,2.026628131360748e-05,linear
185,1.1454854655517273e-05,linear
186,1.850399598198944e-05,linear
187,1.850399598198944e-05,linear
188,1.67417106503714e-05,linear
189,1.762285331618042e-05,linear
190,1.850399598198944e-05,linear
191,1.4098282652944335e-05,linear
192,1.3217139987135315e-05,linear
193,1.67417106503714e-05,linear
194,1.938513864779846e-05,linear
195,1.1454854655517273e-05,linear
196,1.762285331618042e-05,linear
197,1.762285331618042e-05,linear
198,1.0573711989708253e-05,linear
199,1.1454854655517273e-05,linear
