degree,probability,scale
1,0.5309228207201061,loglog
2,0.1605767959885174,loglog
3,0.08182290794695606,loglog
4,0.04923472759475761,loglog
5,0.0323670135431394,loglog
6,0.023040999568229078,loglog
7,0.01704129915674623,loglog
8,0.01354492505881822,loglog
9,0.010591334843025872,loglog
10,0.008458969591767673,loglog
11,0.006951334490568178,loglog
12,0.005837570160985383,loglog
13,0.004857739516605583,loglog
14,0.004220673369225551,loglog
15,0.003678770629752909,loglog
16,0.0031315810342854127,loglog
17,0.002772955969301079,loglog
18,0.0024196177603116008,loglog
19,0.0022046189498541625,loglog
20,0.002013410991373572,loglog
21,0.0018292521742194852,loglog
22,0.0016627162103815924,loglog
23,0.0014979425318753176,loglog
24,0.001370176845333019,loglog
25,0.001327881997374189,loglog
26,0.0011375551815594545,loglog
27,0.001106715188256141,loglog
28,0.0009489906510763344,loglog
29,0.000944584937747289,loglog
30,0.0008406101031818194,loglog
31,0.0007850981152358483,loglog
32,0.0007207747006317866,loglog
33,0.0007251804139608319,loglog
34,0.0006661438553516246,loglog
35,0.0006494021447012524,loglog
36,0.0005639313061177731,loglog
37,0.0005639313061177731,loglog
38,0.0004714113262078224,loglog
39,0.0005137061741666564,loglog
40,0.00041589933826185473,loglog
41,0.0004714113262078224,loglog
42,0.00041678048092766375,loglog
43,0.0003956330569482475,loglog
44,0.0003797724889636853,loglog
45,0.00033395307034161676,loglog
46,0.00034893249566036994,loglog
47,0.00033219078500999874,loglog
48,0.0003207359303544816,loglog
49,0.0002890147943853572,loglog
50,0.00028284679572469415,loglog
51,0.00030135079170668337,loglog
52,0.0002528879450871878,loglog
53,0.00024848223175814274,loglog
54,0.00023438394910519855,loglog
55,0.00021499881045740032,loglog
56,0.0002379085197684346,loglog
57,0.00025817480108204186,loglog
58,0.00022028566645225438,loglog
59,0.0002141176677915913,loglog
60,0.0002044250984676922,loglog
61,0.00022645366511291745,loglog
62,0.0001956136718096021,loglog
63,0.00016741710650371375,loglog
64,0.00017622853316180386,loglog
65,0.0001788719611592309,loglog
66,0.00016565482117209573,loglog
67,0.00014362625452687047,loglog
68,0.00014803196785591552,loglog
69,0.00013569597053458938,loglog
70,0.00014803196785591552,loglog
71,0.00013393368520297135,loglog
72,0.00013393368520297135,loglog
73,0.00014186396919525245,loglog
74,0.00012512225854488125,loglog
75,0.00012424111587907224,loglog
76,0.00010926169056031887,loglog
77,0.00010926169056031887,loglog
78,0.00010573711989708278,loglog
79,0.0001304091145397353,loglog
80,0.0001066182625628918,loglog
81,0.0001030936918996557,loglog
82,0.0001101428332261279,loglog
83,0.00010926169056031887,loglog
84,9.075769457832937e-05,loglog
85,8.194626792023913e-05,loglog
86,9.075769457832937e-05,loglog
87,8.194626792023913e-05,loglog
88,8.987655191252034e-05,loglog
89,7.049141326472181e-05,loglog
90,7.401598392795791e-05,loglog
91,5.815541594339548e-05,loglog
92,9.604455057318351e-05,loglog
93,6.784798526729474e-05,loglog
94,9.075769457832937e-05,loglog
95,6.520455726986767e-05,loglog
96,7.489712659376693e-05,loglog
97,6.872912793310377e-05,loglog
98,7.577826925957596e-05,loglog
99,7.489712659376693e-05,loglog
100,9.075769457832937e-05,loglog
101,7.401598392795791e-05,loglog
102,5.2868559948541333e-05,loglog
103,6.079884394082255e-05,loglog
104,6.344227193824962e-05,loglog
105,6.25611292724406e-05,loglog
106,5.639313061177743e-05,loglog
107,5.022513195111426e-05,loglog
108,5.2868559948541333e-05,loglog
109,5.2868559948541333e-05,loglog
110,4.934398928530524e-05,loglog
111,4.6700561287878165e-05,loglog
112,4.405713329045109e-05,loglog
113,3.70079919639789e-05,loglog
114,4.6700561287878165e-05,loglog
115,4.846284661949621e-05,loglog
116,4.934398928530524e-05,loglog
117,4.758170395368719e-05,loglog
118,5.90365586092045e-05,loglog
119,3.7889134629787925e-05,loglog
120,5.1106274616923285e-05,loglog
121,3.70079919639789e-05,loglog
122,3.524570663236085e-05,loglog
123,3.436456396655183e-05,loglog
124,5.2868559948541333e-05,loglog
125,3.172113596912476e-05,loglog
126,3.083999330331573e-05,loglog
127,2.6434279974270626e-05,loglog
128,3.083999330331573e-05,loglog
129,4.2294847958833045e-05,loglog
130,3.7889134629787925e-05,loglog
131,3.70079919639789e-05,loglog
132,3.3483421300742805e-05,loglog
133,2.7315422640079647e-05,loglog
134,3.3483421300742805e-05,loglog
135,3.3483421300742805e-05,loglog
136,2.8196565305888667e-05,loglog
137,2.026628131360748e-05,loglog
138,2.9077707971697688e-05,loglog
139,2.9077707971697688e-05,loglog
140,2.7315422640079647e-05,loglog
141,3.70079919639789e-05,loglog
142,2.995885063750671e-05,loglog
143,2.6434279974270626e-05,loglog
144,3.172113596912476e-05,loglog
145,3.877027729559695e-05,loglog
146,3.260227863493378e-05,loglog
147,2.3790851976843564e-05,loglog
148,2.7315422640079647e-05,loglog
149,2.9077707971697688e-05,loglog
150,2.7315422640079647e-05,loglog
151,2.6434279974270626e-05,loglog
152,2.4671994642652585e-05,loglog
153,2.026628131360748e-05,loglog
154,2.3790851976843564e-05,loglog
155,2.1147423979416502e-05,loglog
156,2.1147423979416502e-05,loglog
157,1.586056798456238e-05,loglog
158,2.2028566645225523e-05,loglog
159,2.7315422640079647e-05,loglog
160,2.6434279974270626e-05,loglog
161,2.026628131360748e-05,loglog
162,2.5553137308461605e-05,loglog
163,1.850399598198944e-05,loglog
164,2.2028566645225523e-05,loglog
165,1.850399598198944e-05,loglog
166,2.2909709311034543e-05,loglog
167,2.2028566645225523e-05,loglog
168,2.2028566645225523e-05,loglog
169,2.5553137308461605e-05,loglog
170,1.762285331618042e-05,loglog
171,2.2909709311034543e-05,loglog
172,2.6434279974270626e-05,loglog
173,1.3217139987135315e-05,loglog
174,1.2335997321326294e-05,loglog
175,1.67417106503714e-05,loglog
176,2.7315422640079647e-05,loglog
177,2.7315422640079647e-05,loglog
178,1.67417106503714e-05,loglog
179,1.762285331618042e-05,loglog
180,1.4979425318753356e-05,loglog
181,1.762285331618042e-05,loglog
182,1.67417106503714e-05,loglog
183,1.938513864779846e-05,loglog
184,2.026628131360748e-05,loglog
185,1.1454854655517273e-05,loglog
186,1.850399598198944e-05,loglog
187,1.850399598198944e-05,loglog
188,1.67417106503714e-05,loglog
189,1.762285331618042e-05,loglog
190,1.850399598198944e-05,loglog
191,1.4098282652944335e-05,loglog
192,1.3217139987135315e-05,loglog
193,1.67417106503714e-05,loglog
194,1.938513864779846e-05,loglog
195,1.1454854655517273e-05,loglog
196,1.762285331618042e-05,loglog
197,1.762285331618042e-05,loglog
198,1.0573711989708253e-05,loglog
199,1.1454854655517273e-05,loglog
200,1.1454854655517273e-05,loglog
201,9.692569323899232e-06,loglog
202,1.67417106503714e-05,loglog
203,1.4979425318753356e-05,loglog
204,9.692569323899232e-06,loglog
205,1.0573711989708253e-05,loglog
206,1.1454854655517273e-05,loglog
207,1.850399598198944e-05,loglog
208,1.586056798456238e-05,loglog
209,1.4979425318753356e-05,loglog
210,7.930283992281191e-06,loglog
211,1.850399598198944e-05,loglog
212,1.4098282652944335e-05,loglog
213,1.0573711989708253e-05,loglog
214,9.692569323899232e-06,loglog
215,1.2335997321326294e-05,loglog
216,1.0573711989708253e-05,loglog
217,1.1454854655517273e-05,loglog
218,1.4979425318753356e-05,loglog
219,9.692569323899232e-06,loglog
220,1.762285331618042e-05,loglog
221,1.762285331618042e-05,loglog
222,1.4098282652944335e-05,loglog
223,1.4098282652944335e-05,loglog
224,1.1454854655517273e-05,loglog
225,1.0573711989708253e-05,loglog
226,8.811426658090212e-06,loglog
