degree,probability,scale
1,0.13381962864721117,linear
2,0.1225464190981359,linear
3,0.09734748010609565,linear
4,0.07525198938991719,linear
5,0.06567639257294189,linear
6,0.052785145888592865,linear
7,0.045384615384614725,linear
8,0.03647214854111417,linear
9,0.03360742705570328,linear
10,0.028381962864721923,linear
11,0.024190981432360995,linear
12,0.021326259946949727,linear
13,0.01896551724137933,linear
14,0.01564986737400518,linear
15,0.014854111405835433,linear
16,0.014217506631299637,linear
17,0.012705570291777123,linear
18,0.010795755968169736,linear
19,0.010450928381962847,linear
20,0.008753315649867392,linear
21,0.008408488063660503,linear
22,0.007851458885941682,linear
23,0.006816976127320982,linear
24,0.006392572944297104,linear
25,0.00578249336870028,linear
26,0.006525198938992066,linear
27,0.005384615384615395,linear
28,0.004694960212201594,linear
29,0.004137931034482754,linear
30,0.003766578249336864,linear
31,0.004137931034482754,linear
32,0.004244031830238724,linear
33,0.003554376657824929,linear
34,0.003209549071618034,linear
35,0.0027320954907161794,linear
36,0.0024137931034482764,linear
37,0.0029442970822281147,linear
38,0.002254641909814325,linear
39,0.002254641909814325,linear
40,0.002546419098143236,linear
41,0.0020954907161803735,linear
42,0.0018832891246684377,linear
43,0.0020689655172413815,linear
44,0.002493368700265252,linear
45,0.0016180371352785164,linear
46,0.001962864721485414,linear
47,0.0015119363395225478,linear
48,0.0015119363395225478,linear
49,0.0014854111405835557,linear
50,0.0012201591511936344,linear
51,0.0012997347480106108,linear
52,0.0010875331564986737,linear
53,0.0012732095490716187,linear
54,0.000928381962864721,linear
55,0.0010875331564986737,linear
56,0.0011936339522546423,linear
57,0.0010344827586206895,linear
58,0.0010875331564986737,linear
59,0.0011936339522546423,linear
60,0.0010079575596816973,linear
61,0.000928381962864721,linear
62,0.0007957559681697609,linear
63,0.000901856763925729,linear
64,0.0006100795755968168,linear
65,0.0007427055702917769,linear
66,0.0009549071618037131,linear
67,0.0005570291777188327,linear
68,0.0006366047745358088,linear
69,0.0006100795755968168,linear
70,0.000901856763925729,linear
71,0.0006896551724137928,linear
72,0.00047745358090185664,linear
73,0.0005305039787798407,linear
74,0.0006631299734748008,linear
75,0.0006896551724137928,linear
76,0.0004509283819628646,linear
77,0.0005570291777188327,linear
78,0.0004509283819628646,linear
79,0.0007161803713527849,linear
80,0.0003183023872679045,linear
81,0.0005570291777188327,linear
82,0.0005039787798408487,linear
83,0.0003448275862068965,linear
84,0.0003183023872679045,linear
85,0.0004244031830238726,linear
86,0.00039787798408488057,linear
87,0.0004244031830238726,linear
88,0.0005039787798408487,linear
89,0.0004244031830238726,linear
90,0.00039787798408488057,linear
91,0.00037135278514588855,linear
92,0.00037135278514588855,linear
93,0.00023872679045092843,linear
94,0.0005305039787798407,linear
95,0.00021220159151193638,linear
96,0.0003183023872679045,linear
97,0.0003183023872679045,linear
98,0.00026525198938992045,linear
99,0.00026525198938992045,linear
100,0.0003448275862068965,linear
101,0.00026525198938992045,linear
102,0.00026525198938992045,linear
103,0.00026525198938992045,linear
104,0.0004509283819628646,linear
105,0.00018567639257294433,linear
106,0.00021220159151193638,linear
107,0.00021220159151193638,linear
108,0.00015915119363395228,linear
109,0.00015915119363395228,linear
110,0.00021220159151193638,linear
111,0.00015915119363395228,linear
112,0.00010610079575596818,linear
113,0.00026525198938992045,linear
114,7.957559681697613e-05,linear
115,0.0002917771883289125,linear
116,0.0002917771883289125,linear
117,0.00021220159151193638,linear
118,0.00015915119363395228,linear
119,0.00018567639257294433,linear
120,0.00013262599469496023,linear
121,0.00015915119363395228,linear
122,0.00018567639257294433,linear
123,0.00010610079575596818,linear
124,0.00015915119363395228,linear
125,0.00010610079575596818,linear
126,0.00021220159151193638,linear
127,0.00021220159151193638,linear
128,0.00013262599469496023,linear
129,0.00015915119363395228,linear
130,0.00015915119363395228,linear
131,5.305039787798409e-05,linear
132,0.0002917771883289125,linear
133,0.00015915119363395228,linear
134,0.00023872679045092843,linear
135,7.957559681697613e-05,linear
136,0.00021220159151193638,linear
137,5.305039787798409e-05,linear
