degree,probability,scale
1,0.2148481439820015,linear
2,0.16085489313835724,linear
3,0.10011248593925744,linear
4,0.08998875140607414,linear
5,0.06524184476940385,linear
6,0.0506186726659168,linear
7,0.03712035995500565,linear
8,0.04499437570303715,linear
9,0.03374578177727786,linear
10,0.02474690663667043,linear
11,0.022497187851518573,linear
12,0.017997750281214857,linear
13,0.016872890888638928,linear
14,0.017997750281214857,linear
15,0.0044994375703037125,linear
16,0.01462317210348707,linear
17,0.007874015748031496,linear
18,0.010123734533183354,linear
19,0.011248593925759283,linear
20,0.0044994375703037125,linear
21,0.005624296962879641,linear
22,0.007874015748031496,linear
23,0.0011248593925759281,linear
24,0.005624296962879641,linear
25,0.0011248593925759281,linear
26,0.0033745781777277844,linear
27,0.0022497187851518562,linear
31,0.0022497187851518562,linear
32,0.0022497187851518562,linear
33,0.0011248593925759281,linear
34,0.0011248593925759281,linear
35,0.0011248593925759281,linear
36,0.0011248593925759281,linear
37,0.0022497187851518562,linear
43,0.0022497187851518562,linear
49,0.0011248593925759281,linear
50,0.0011248593925759281,linear
55,0.0011248593925759281,linear
56,0.0011248593925759281,linear
60,0.0011248593925759281,linear
66,0.0011248593925759281,linear
92,0.0011248593925759281,linear
102,0.0011248593925759281,linear
