degree,probability,scale
1,0.2148481439820015,loglog
2,0.16085489313835724,loglog
3,0.10011248593925744,loglog
4,0.08998875140607414,loglog
5,0.06524184476940385,loglog
6,0.0506186726659168,loglog
7,0.03712035995500565,loglog
8,0.04499437570303715,loglog
9,0.03374578177727786,loglog
10,0.02474690663667043,loglog
11,0.022497187851518573,loglog
12,0.017997750281214857,loglog
13,0.016872890888638928,loglog
14,0.017997750281214857,loglog
15,0.0044994375703037125,loglog
16,0.01462317210348707,loglog
17,0.007874015748031496,loglog
18,0.010123734533183354,loglog
19,0.011248593925759283,loglog
20,0.0044994375703037125,loglog
21,0.005624296962879641,loglog
22,0.007874015748031496,loglog
23,0.0011248593925759281,loglog
24,0.005624296962879641,loglog
25,0.0011248593925759281,loglog
26,0.0033745781777277844,loglog
27,0.0022497187851518562,loglog
31,0.0022497187851518562,loglog
32,0.0022497187851518562,loglog
33,0.0011248593925759281,loglog
34,0.0011248593925759281,loglog
35,0.0011248593925759281,loglog
36,0.0011248593925759281,loglog
37,0.0022497187851518562,loglog
43,0.0022497187851518562,loglog
49,0.0011248593925759281,loglog
50,0.0011248593925759281,loglog
55,0.0011248593925759281,loglog
56,0.0011248593925759281,loglog
60,0.0011248593925759281,loglog
66,0.0011248593925759281,loglog
92,0.0011248593925759281,loglog
102,0.0011248593925759281,loglog
