degree,probability,scale
1,0.21484675282909985,linear
2,0.13226120433466151,linear
3,0.09949000534911563,linear
4,0.07831247745453433,linear
5,0.0631939347950894,linear
6,0.05144571044724445,linear
7,0.04263617479120112,linear
8,0.035556267336609056,linear
9,0.02993948478094332,linear
10,0.025303819984281314,linear
11,0.021732302563629062,linear
12,0.01890463100019929,linear
13,0.01620383615489108,linear
14,0.014158260047521076,linear
15,0.012562660928194221,linear
16,0.011037341559591955,linear
17,0.009701715323476414,linear
18,0.008688878384936642,linear
19,0.007836503178139739,linear
20,0.006983816998994498,linear
21,0.006383018422003758,linear
22,0.0057393056609422516,linear
23,0.005215628226339557,linear
24,0.004742639284516102,linear
25,0.0042870647941996255,linear
26,0.003917318672024683,linear
27,0.00361225479830423,linear
28,0.003333312601844244,linear
29,0.0030497058201591743,linear
30,0.0028220740611751053,linear
31,0.0026168323112714365,linear
32,0.0023941761098607898,linear
33,0.002237757018646327,linear
34,0.0020813379274318643,linear
35,0.0019162116104639128,linear
36,0.0018123468461187229,linear
37,0.0016898237408731994,linear
38,0.0016030624556866485,linear
39,0.001466234622417536,linear
40,0.0013850708395010851,linear
41,0.0013374920702052347,linear
42,0.0012218103566231668,linear
43,0.001157750052865355,linear
44,0.0011101712835695045,linear
45,0.0010622815419253152,linear
46,0.0009836055377955755,linear
47,0.00094349010485987,linear
48,0.0008797407734504193,linear
49,0.000814125607950936,linear
50,0.0008082171333324991,linear
51,0.0007528640553281956,linear
52,0.0007687236450934736,linear
53,0.0007009316731556187,linear
54,0.0006564626273431727,linear
55,0.0005846280148769136,linear
56,0.0006203898349358737,linear
57,0.0005628599504931988,linear
58,0.0005373602179294185,linear
59,0.0005099946512756055,linear
60,0.0004975557573420542,linear
61,0.0005131043747589934,linear
62,0.0004334954535842647,linear
63,0.00041514808503227647,linear
64,0.000431629619494232,linear
65,0.0004036421081437415,linear
66,0.0003837398778500593,linear
67,0.0003824959884567042,linear
68,0.00036010597937631176,linear
69,0.00032216735287898015,linear
70,0.0003100394312937676,linear
71,0.0003156369335638657,linear
72,0.00030848456955207367,linear
73,0.0002624606619979337,linear
74,0.0002770763623698565,linear
75,0.00027800927941487287,linear
76,0.00025157662980607626,linear
77,0.00026152774495291734,linear
78,0.0002472230169293333,linear
79,0.000249088851019366,linear
80,0.00022763175898398992,linear
81,0.0002067966116452914,linear
82,0.00021550383739877735,linear
83,0.00021177216921871195,linear
84,0.00021612578209545492,linear
85,0.00019622355180177277,linear
86,0.00019218091127336858,linear
87,0.00017414451506971913,linear
88,0.00020026619233017695,linear
89,0.00017196770863134764,linear
90,0.00016201659348450656,linear
91,0.00017943104499147845,linear
92,0.0001539313124276982,linear
93,0.00016419339992287805,linear
94,0.00016450437227121683,linear
95,0.00015517520182105332,linear
96,0.00014677894841590616,linear
97,0.00015330936773102062,linear
98,0.00014273630788750198,linear
99,0.00014273630788750198,linear
