degree,probability,scale
1,0.21484675282909985,loglog
2,0.13226120433466151,loglog
3,0.09949000534911563,loglog
4,0.07831247745453433,loglog
5,0.0631939347950894,loglog
6,0.05144571044724445,loglog
7,0.04263617479120112,loglog
8,0.035556267336609056,loglog
9,0.02993948478094332,loglog
10,0.025303819984281314,loglog
11,0.021732302563629062,loglog
12,0.01890463100019929,loglog
13,0.01620383615489108,loglog
14,0.014158260047521076,loglog
15,0.012562660928194221,loglog
16,0.011037341559591955,loglog
17,0.009701715323476414,loglog
18,0.008688878384936642,loglog
19,0.007836503178139739,loglog
20,0.006983816998994498,loglog
21,0.006383018422003758,loglog
22,0.0057393056609422516,loglog
23,0.005215628226339557,loglog
24,0.004742639284516102,loglog
25,0.0042870647941996255,loglog
26,0.003917318672024683,loglog
27,0.00361225479830423,loglog
28,0.003333312601844244,loglog
29,0.0030497058201591743,loglog
30,0.0028220740611751053,loglog
31,0.0026168323112714365,loglog
32,0.0023941761098607898,loglog
33,0.002237757018646327,loglog
34,0.0020813379274318643,loglog
35,0.0019162116104639128,loglog
36,0.0018123468461187229,loglog
37,0.0016898237408731994,loglog
38,0.0016030624556866485,loglog
39,0.001466234622417536,loglog
40,0.0013850708395010851,loglog
41,0.0013374920702052347,loglog
42,0.0012218103566231668,loglog
43,0.001157750052865355,loglog
44,0.0011101712835695045,loglog
45,0.0010622815419253152,loglog
46,0.0009836055377955755,loglog
47,0.00094349010485987,loglog
48,0.0008797407734504193,loglog
49,0.000814125607950936,loglog
50,0.0008082171333324991,loglog
51,0.0007528640553281956,loglog
52,0.0007687236450934736,loglog
53,0.0007009316731556187,loglog
54,0.0006564626273431727,loglog
55,0.0005846280148769136,loglog
56,0.0006203898349358737,loglog
57,0.0005628599504931988,loglog
58,0.0005373602179294185,loglog
59,0.0005099946512756055,loglog
60,0.0004975557573420542,loglog
61,0.0005131043747589934,loglog
62,0.0004334954535842647,loglog
63,0.00041514808503227647,loglog
64,0.000431629619494232,loglog
65,0.0004036421081437415,loglog
66,0.0003837398778500593,loglog
67,0.0003824959884567042,loglog
68,0.00036010597937631176,loglog
69,0.00032216735287898015,loglog
70,0.0003100394312937676,loglog
71,0.0003156369335638657,loglog
72,0.00030848456955207367,loglog
73,0.0002624606619979337,loglog
74,0.0002770763623698565,loglog
75,0.00027800927941487287,loglog
76,0.00025157662980607626,loglog
77,0.00026152774495291734,loglog
78,0.0002472230169293333,loglog
79,0.000249088851019366,loglog
80,0.00022763175898398992,loglog
81,0.0002067966116452914,loglog
82,0.00021550383739877735,loglog
83,0.00021177216921871195,loglog
84,0.00021612578209545492,loglog
85,0.00019622355180177277,loglog
86,0.00019218091127336858,loglog
87,0.00017414451506971913,loglog
88,0.00020026619233017695,loglog
