degree,probability,scale
1,0.17517953941491515,linear
2,0.12289414454254018,linear
3,0.08580436741246529,linear
4,0.06903403283942712,linear
5,0.05716484738714884,linear
6,0.04906972946611741,linear
7,0.044029265295792576,linear
8,0.042720617371190796,linear
9,0.0389282790137715,linear
10,0.03459009972445024,linear
11,0.03025991392157642,linear
12,0.02669025125812302,linear
13,0.024126625960793246,linear
14,0.021036572484368136,linear
15,0.01879953820487191,linear
16,0.017149454216167443,linear
17,0.014911278010035434,linear
18,0.01379218990696943,linear
19,0.014290069920170224,linear
20,0.01352726292746809,linear
21,0.009675544384976628,linear
22,0.007332310928352709,linear
23,0.005695930059277623,linear
24,0.004879452514693752,linear
25,0.004100658549090676,linear
26,0.0035616691770018736,linear
27,0.00328303907787126,linear
28,0.0028662358558111207,linear
29,0.0026515536482842545,linear
30,0.0025156643786262913,linear
31,0.0020897257434799024,linear
32,0.0018704758294098957,linear
33,0.0017288769265729996,linear
34,0.0015690071975636008,linear
35,0.0015473105914837538,linear
36,0.0014342598545413932,linear
37,0.0013326283839568468,linear
38,0.0012115841605640162,linear
39,0.0012447000330016774,linear
40,0.0010574240647335245,linear
41,0.0010003277329444535,linear
42,0.0008792835095516321,linear
43,0.0009158251618966341,linear
44,0.0008575869034717872,linear
45,0.00081647754458366,linear
46,0.0007890713053249085,linear
47,0.0007536715796156878,linear
48,0.0006440466225806819,linear
49,0.0005252862524594255,linear
50,0.0005241443258236441,linear
51,0.0005835245108842724,linear
52,0.0005104412061942684,linear
53,0.0004990219398364553,linear
54,0.0005207185459163002,linear
55,0.00042137092860332294,linear
56,0.0003916808360730074,linear
57,0.0004190870753317602,linear
58,0.00040424202906660245,linear
59,0.0003517134038206596,linear
60,0.00035970689027112917,linear
61,0.0003494295505490969,linear
62,0.00030375248511784223,linear
63,0.00030603633838940497,linear
64,0.0002980428519389354,linear
65,0.00029690092530315404,linear
66,0.000284339732309559,linear
67,0.0002889074388526845,linear
68,0.0002283853271562721,linear
69,0.00022724340052049073,linear
70,0.000224959547248928,linear
71,0.00022952725379205347,linear
72,0.0002215337673415839,linear
73,0.00022952725379205347,linear
74,0.0002318111070636162,linear
75,0.0001884178949039243,linear
76,0.0002112564276195516,linear
77,0.0001644374355525156,linear
