degree,probability,scale
1,0.17517953941491515,loglog
2,0.12289414454254018,loglog
3,0.08580436741246529,loglog
4,0.06903403283942712,loglog
5,0.05716484738714884,loglog
6,0.04906972946611741,loglog
7,0.044029265295792576,loglog
8,0.042720617371190796,loglog
9,0.0389282790137715,loglog
10,0.03459009972445024,loglog
11,0.03025991392157642,loglog
12,0.02669025125812302,loglog
13,0.024126625960793246,loglog
14,0.021036572484368136,loglog
15,0.01879953820487191,loglog
16,0.017149454216167443,loglog
17,0.014911278010035434,loglog
18,0.01379218990696943,loglog
19,0.014290069920170224,loglog
20,0.01352726292746809,loglog
21,0.009675544384976628,loglog
22,0.007332310928352709,loglog
23,0.005695930059277623,loglog
24,0.004879452514693752,loglog
25,0.004100658549090676,loglog
26,0.0035616691770018736,loglog
27,0.00328303907787126,loglog
28,0.0028662358558111207,loglog
29,0.0026515536482842545,loglog
30,0.0025156643786262913,loglog
31,0.0020897257434799024,loglog
32,0.0018704758294098957,loglog
33,0.0017288769265729996,loglog
34,0.0015690071975636008,loglog
35,0.0015473105914837538,loglog
36,0.0014342598545413932,loglog
37,0.0013326283839568468,loglog
38,0.0012115841605640162,loglog
39,0.0012447000330016774,loglog
40,0.0010574240647335245,loglog
41,0.0010003277329444535,loglog
42,0.0008792835095516321,loglog
43,0.0009158251618966341,loglog
44,0.0008575869034717872,loglog
45,0.00081647754458366,loglog
46,0.0007890713053249085,loglog
47,0.0007536715796156878,loglog
48,0.0006440466225806819,loglog
49,0.0005252862524594255,loglog
50,0.0005241443258236441,loglog
51,0.0005835245108842724,loglog
52,0.0005104412061942684,loglog
53,0.0004990219398364553,loglog
54,0.0005207185459163002,loglog
55,0.00042137092860332294,loglog
56,0.0003916808360730074,loglog
57,0.0004190870753317602,loglog
58,0.00040424202906660245,loglog
59,0.0003517134038206596,loglog
60,0.00035970689027112917,loglog
61,0.0003494295505490969,loglog
62,0.00030375248511784223,loglog
63,0.00030603633838940497,loglog
64,0.0002980428519389354,loglog
65,0.00029690092530315404,loglog
66,0.000284339732309559,loglog
67,0.0002889074388526845,loglog
68,0.0002283853271562721,loglog
69,0.00022724340052049073,loglog
70,0.000224959547248928,loglog
71,0.00022952725379205347,loglog
72,0.0002215337673415839,loglog
73,0.00022952725379205347,loglog
74,0.0002318111070636162,loglog
75,0.0001884178949039243,loglog
76,0.0002112564276195516,loglog
77,0.0001644374355525156,loglog
78,0.00018613404163236156,loglog
79,0.00019070174817548702,loglog
80,0.0001610116556451715,loglog
81,0.0001244700033001678,loglog
82,0.000143882756108451,loglog
83,0.00011305073694235424,loglog
84,0.00012903770984329325,loglog
85,0.00014616660938001374,loglog
86,0.00016557936218829697,loglog
