degree,probability,scale
1,0.4968301870560336,linear
2,0.10784732093237176,linear
3,0.0648606663821936,linear
4,0.06365107190334984,linear
5,0.02863423275177121,linear
6,0.04675972971397843,linear
7,0.023319999140392365,linear
8,0.021702089774016484,linear
9,0.017229046231683164,linear
10,0.013419130626992818,linear
11,0.010450405091348428,linear
12,0.008522422013391161,linear
13,0.00974736667597866,linear
14,0.006901442610267853,linear
15,0.005958941328527597,linear
16,0.0043655922561393464,linear
17,0.004230510639212404,linear
18,0.00403095825057033,linear
19,0.003020916160366478,linear
20,0.002400768737201792,linear
21,0.003103807152571659,linear
22,0.001667029954348545,linear
23,0.0014152869409846803,linear
24,0.0013630963162629035,linear
25,0.001289415434302748,linear
26,0.002081484915374429,linear
27,0.0025726907951088337,linear
28,0.0009240810612503083,linear
29,0.0030761768218365987,linear
30,0.0014490573452164183,linear
31,0.0008534702160384901,linear
32,0.001387656610249622,linear
33,0.002422258994440172,linear
34,0.0015718588151500108,linear
35,0.0010468825311839027,linear
36,0.0022503369365331305,linear
37,0.00047585569599267996,linear
38,0.000405244850780863,linear
39,0.001406076830739661,linear
40,0.0004605055122509806,linear
41,0.002382348516711752,linear
42,0.0003070036748339872,linear
43,0.0003745444832974643,linear
44,0.0003162137850790068,linear
45,0.0013477461325212044,linear
46,0.000288583454343948,linear
47,0.001504318006686535,linear
48,0.00026709319710556894,linear
49,0.00021797260913213105,linear
50,0.00020569246213877158,linear
51,0.0001934123151454121,linear
52,0.00016885202115869317,linear
53,0.0014613374922097775,linear
54,0.0001749920946553729,linear
55,0.0015411584476666127,linear
56,0.00015043180066865396,linear
57,0.0015749288518983507,linear
58,0.00018727224164873237,linear
59,0.00019955238864209185,linear
60,0.00042980514476758194,linear
61,9.82411759468761e-05,linear
62,0.00012280146993359515,linear
63,8.903106570185645e-05,linear
64,0.0001565718741653337,linear
65,0.00010745128619189574,linear
66,9.210110245019633e-05,linear
67,0.00012587150668193502,linear
68,7.675091870849693e-05,linear
69,0.0001381516536752945,linear
70,9.517113919853622e-05,linear
71,0.0019249130412090894,linear
72,0.00012894154343027488,linear
73,6.754080846347728e-05,linear
74,4.912058797343802e-05,linear
75,7.368088196015705e-05,linear
76,4.298051447675827e-05,linear
77,6.754080846347728e-05,linear
78,4.912058797343802e-05,linear
79,4.912058797343802e-05,linear
80,4.605055122509815e-05,linear
81,6.140073496679752e-05,linear
82,3.99104777284184e-05,linear
83,9.82411759468761e-05,linear
84,5.8330698218457646e-05,linear
85,4.912058797343802e-05,linear
86,5.2190624721777896e-05,linear
87,0.00011666139643691539,linear
88,4.605055122509815e-05,linear
89,3.99104777284184e-05,linear
90,8.289099220517669e-05,linear
91,5.2190624721777896e-05,linear
92,5.2190624721777896e-05,linear
93,7.368088196015705e-05,linear
94,7.368088196015705e-05,linear
95,4.912058797343802e-05,linear
96,2.76303307350589e-05,linear
97,2.76303307350589e-05,linear
98,3.0700367483398774e-05,linear
99,9.210110245019633e-05,linear
100,2.76303307350589e-05,linear
101,3.0700367483398774e-05,linear
102,3.99104777284184e-05,linear
103,2.76303307350589e-05,linear
104,2.1490257238379143e-05,linear
105,2.1490257238379143e-05,linear
106,4.298051447675827e-05,linear
107,3.0700367483398774e-05,linear
108,2.1490257238379143e-05,linear
109,2.1490257238379143e-05,linear
110,3.0700367483398774e-05,linear
111,1.5350183741699387e-05,linear
112,2.76303307350589e-05,linear
113,3.377040423173865e-05,linear
114,2.76303307350589e-05,linear
115,4.605055122509815e-05,linear
116,2.456029398671902e-05,linear
117,6.140073496679755e-06,linear
118,6.140073496679755e-06,linear
119,3.684044098007852e-05,linear
120,3.0700367483398774e-05,linear
121,1.5350183741699387e-05,linear
122,1.5350183741699387e-05,linear
123,9.210110245019632e-06,linear
124,2.1490257238379143e-05,linear
125,1.228014699335951e-05,linear
126,2.456029398671902e-05,linear
127,1.8420220490039265e-05,linear
129,1.8420220490039265e-05,linear
130,9.210110245019632e-06,linear
131,1.5350183741699387e-05,linear
132,6.140073496679755e-06,linear
133,1.228014699335951e-05,linear
134,1.228014699335951e-05,linear
135,1.5350183741699387e-05,linear
136,6.140073496679755e-06,linear
137,1.228014699335951e-05,linear
138,1.8420220490039265e-05,linear
139,3.684044098007852e-05,linear
140,6.140073496679755e-06,linear
141,1.228014699335951e-05,linear
142,9.210110245019632e-06,linear
145,1.5350183741699387e-05,linear
146,9.210110245019632e-06,linear
147,9.210110245019632e-06,linear
148,2.456029398671902e-05,linear
149,1.8420220490039265e-05,linear
150,9.210110245019632e-06,linear
151,3.0700367483398776e-06,linear
152,6.140073496679755e-06,linear
153,3.0700367483398776e-06,linear
155,0.003690184171504605,linear
156,0.00047585569599267996,linear
157,6.140073496679755e-06,linear
158,6.140073496679755e-06,linear
159,9.210110245019632e-06,linear
160,1.228014699335951e-05,linear
161,9.210110245019632e-06,linear
162,6.140073496679755e-06,linear
163,6.140073496679755e-06,linear
165,3.0700367483398776e-06,linear
166,3.0700367483398774e-05,linear
167,9.210110245019632e-06,linear
168,6.140073496679755e-06,linear
169,6.140073496679755e-06,linear
170,6.140073496679755e-06,linear
171,3.0700367483398776e-06,linear
173,3.0700367483398774e-05,linear
174,1.8420220490039265e-05,linear
175,1.228014699335951e-05,linear
176,9.210110245019632e-06,linear
178,9.210110245019632e-06,linear
179,1.5350183741699387e-05,linear
180,6.140073496679755e-06,linear
181,9.210110245019632e-06,linear
182,9.210110245019632e-06,linear
183,9.210110245019632e-06,linear
184,9.210110245019632e-06,linear
185,6.140073496679755e-06,linear
187,9.210110245019632e-06,linear
188,9.210110245019632e-06,linear
189,6.140073496679755e-06,linear
190,1.228014699335951e-05,linear
191,3.0700367483398776e-06,linear
192,6.140073496679755e-06,linear
193,9.210110245019632e-06,linear
194,9.210110245019632e-06,linear
198,3.377040423173865e-05,linear
199,6.140073496679755e-06,linear
200,1.228014699335951e-05,linear
201,9.210110245019632e-06,linear
202,9.210110245019632e-06,linear
203,1.8420220490039265e-05,linear
204,6.140073496679755e-06,linear
205,1.228014699335951e-05,linear
206,1.228014699335951e-05,linear
207,3.0700367483398776e-06,linear
208,9.210110245019632e-06,linear
209,6.140073496679755e-06,linear
210,9.210110245019632e-06,linear
211,9.210110245019632e-06,linear
212,3.0700367483398776e-06,linear
