degree,probability,scale
1,0.4968301870560336,loglog
2,0.10784732093237176,loglog
3,0.0648606663821936,loglog
4,0.06365107190334984,loglog
5,0.02863423275177121,loglog
6,0.04675972971397843,loglog
7,0.023319999140392365,loglog
8,0.021702089774016484,loglog
9,0.017229046231683164,loglog
10,0.013419130626992818,loglog
11,0.010450405091348428,loglog
12,0.008522422013391161,loglog
13,0.00974736667597866,loglog
14,0.006901442610267853,loglog
15,0.005958941328527597,loglog
16,0.0043655922561393464,loglog
17,0.004230510639212404,loglog
18,0.00403095825057033,loglog
19,0.003020916160366478,loglog
20,0.002400768737201792,loglog
21,0.003103807152571659,loglog
22,0.001667029954348545,loglog
23,0.0014152869409846803,loglog
24,0.0013630963162629035,loglog
25,0.001289415434302748,loglog
26,0.002081484915374429,loglog
27,0.0025726907951088337,loglog
28,0.0009240810612503083,loglog
29,0.0030761768218365987,loglog
30,0.0014490573452164183,loglog
31,0.0008534702160384901,loglog
32,0.001387656610249622,loglog
33,0.002422258994440172,loglog
34,0.0015718588151500108,loglog
35,0.0010468825311839027,loglog
36,0.0022503369365331305,loglog
37,0.00047585569599267996,loglog
38,0.000405244850780863,loglog
39,0.001406076830739661,loglog
40,0.0004605055122509806,loglog
41,0.002382348516711752,loglog
42,0.0003070036748339872,loglog
43,0.0003745444832974643,loglog
44,0.0003162137850790068,loglog
45,0.0013477461325212044,loglog
46,0.000288583454343948,loglog
47,0.001504318006686535,loglog
48,0.00026709319710556894,loglog
49,0.00021797260913213105,loglog
50,0.00020569246213877158,loglog
51,0.0001934123151454121,loglog
52,0.00016885202115869317,loglog
53,0.0014613374922097775,loglog
54,0.0001749920946553729,loglog
55,0.0015411584476666127,loglog
56,0.00015043180066865396,loglog
57,0.0015749288518983507,loglog
58,0.00018727224164873237,loglog
59,0.00019955238864209185,loglog
60,0.00042980514476758194,loglog
61,9.82411759468761e-05,loglog
62,0.00012280146993359515,loglog
63,8.903106570185645e-05,loglog
64,0.0001565718741653337,loglog
65,0.00010745128619189574,loglog
66,9.210110245019633e-05,loglog
67,0.00012587150668193502,loglog
68,7.675091870849693e-05,loglog
69,0.0001381516536752945,loglog
70,9.517113919853622e-05,loglog
71,0.0019249130412090894,loglog
72,0.00012894154343027488,loglog
73,6.754080846347728e-05,loglog
74,4.912058797343802e-05,loglog
75,7.368088196015705e-05,loglog
76,4.298051447675827e-05,loglog
77,6.754080846347728e-05,loglog
78,4.912058797343802e-05,loglog
79,4.912058797343802e-05,loglog
80,4.605055122509815e-05,loglog
81,6.140073496679752e-05,loglog
82,3.99104777284184e-05,loglog
83,9.82411759468761e-05,loglog
84,5.8330698218457646e-05,loglog
85,4.912058797343802e-05,loglog
86,5.2190624721777896e-05,loglog
87,0.00011666139643691539,loglog
88,4.605055122509815e-05,loglog
89,3.99104777284184e-05,loglog
90,8.289099220517669e-05,loglog
91,5.2190624721777896e-05,loglog
92,5.2190624721777896e-05,loglog
93,7.368088196015705e-05,loglog
94,7.368088196015705e-05,loglog
95,4.912058797343802e-05,loglog
96,2.76303307350589e-05,loglog
