degree,probability,scale
1,0.04963054667739727,linear
2,0.10984274732794008,linear
3,0.10463173502938657,linear
4,0.0925885854353844,linear
5,0.10507160264342376,linear
6,0.12246410999523308,linear
7,0.06193619791203454,linear
8,0.03592370425288346,linear
9,0.02638850952278214,linear
10,0.0197904953122178,linear
11,0.03314970042887471,linear
12,0.025150495028434316,linear
13,0.010315605013071275,linear
14,0.008733500530323825,linear
15,0.010177259553817574,linear
16,0.015235737115247764,linear
17,0.00925850381159428,linear
18,0.0068853470874731025,linear
19,0.01677172644491121,linear
20,0.005498345175468051,linear
21,0.004270972639524961,linear
22,0.0041042486245269115,linear
23,0.005455777341851527,linear
24,0.00379208451133906,linear
25,0.012561058236342881,linear
26,0.003320291022089202,linear
27,0.0030542420619858986,linear
28,0.0027207940319897584,linear
29,0.003008126908901326,linear
30,0.003004579589433282,linear
31,0.0029584644363487094,linear
32,0.0033593115362376864,linear
33,0.003249344632728321,linear
34,0.004270972639524961,linear
35,0.009162726185957102,linear
36,0.004959152616325422,linear
37,0.006793116781303969,linear
38,0.005707637024082624,linear
39,0.001575009843811532,linear
40,0.0015395366491310915,linear
41,0.0011706154244545109,linear
42,0.0009719655342440445,linear
43,0.0011493315076462466,linear
44,0.001025175326264705,linear
45,0.0009471342979677369,linear
46,0.000890377186479034,linear
47,0.0009364923395636051,linear
48,0.0012912242863680084,linear
49,0.002433461155078191,linear
50,0.0035082989538955363,linear
51,0.0033522168973015984,linear
52,0.001028722645732749,linear
53,0.000833620074990331,linear
54,0.0006385175042479145,linear
55,0.0006349701847798706,linear
56,0.0008087888387140234,linear
57,0.0006243282263757387,linear
58,0.0004185836972291894,linear
59,0.0003902051414848375,linear
60,0.0007945995608418477,linear
61,0.001103216354561674,linear
62,0.0008797352280749022,linear
63,0.0006207809069076948,linear
64,0.00036182658574048556,linear
65,0.00044696225297354133,linear
66,0.0003405426689322216,linear
67,0.0003902051414848375,linear
68,0.0003050694742517817,linear
69,0.0002695962795713418,linear
70,0.0002766909185074298,linear
71,0.0003086167937198257,linear
72,0.0003476373078683096,linear
73,0.00022348112648677007,linear
74,0.0001915552512743744,linear
75,0.00032635339106004566,linear
76,0.00023767040435894592,linear
77,0.00025895432116720984,linear
78,0.00021283916808263818,linear
79,0.00023412308489090196,linear
80,0.00025895432116720984,linear
81,0.00016672401499806666,linear
82,0.00014544009818980288,linear
83,0.00015962937606197873,linear
84,0.0001241561813815391,linear
85,0.00016672401499806666,linear
86,0.00011706154244545114,linear
87,0.00010287226457327524,linear
88,0.00011706154244545114,linear
89,0.00018446061233828647,linear
90,0.0001241561813815391,linear
91,0.00015608205659393477,linear
92,0.0001241561813815391,linear
93,0.00010996690350936319,linear
94,9.577762563718728e-05,linear
95,0.00012770350084958306,linear
