degree,probability,scale
1,0.04963054667739727,loglog
2,0.10984274732794008,loglog
3,0.10463173502938657,loglog
4,0.0925885854353844,loglog
5,0.10507160264342376,loglog
6,0.12246410999523308,loglog
7,0.06193619791203454,loglog
8,0.03592370425288346,loglog
9,0.02638850952278214,loglog
10,0.0197904953122178,loglog
11,0.03314970042887471,loglog
12,0.025150495028434316,loglog
13,0.010315605013071275,loglog
14,0.008733500530323825,loglog
15,0.010177259553817574,loglog
16,0.015235737115247764,loglog
17,0.00925850381159428,loglog
18,0.0068853470874731025,loglog
19,0.01677172644491121,loglog
20,0.005498345175468051,loglog
21,0.004270972639524961,loglog
22,0.0041042486245269115,loglog
23,0.005455777341851527,loglog
24,0.00379208451133906,loglog
25,0.012561058236342881,loglog
26,0.003320291022089202,loglog
27,0.0030542420619858986,loglog
28,0.0027207940319897584,loglog
29,0.003008126908901326,loglog
30,0.003004579589433282,loglog
31,0.0029584644363487094,loglog
32,0.0033593115362376864,loglog
33,0.003249344632728321,loglog
34,0.004270972639524961,loglog
35,0.009162726185957102,loglog
36,0.004959152616325422,loglog
37,0.006793116781303969,loglog
38,0.005707637024082624,loglog
39,0.001575009843811532,loglog
40,0.0015395366491310915,loglog
41,0.0011706154244545109,loglog
42,0.0009719655342440445,loglog
43,0.0011493315076462466,loglog
44,0.001025175326264705,loglog
45,0.0009471342979677369,loglog
46,0.000890377186479034,loglog
47,0.0009364923395636051,loglog
48,0.0012912242863680084,loglog
49,0.002433461155078191,loglog
50,0.0035082989538955363,loglog
51,0.0033522168973015984,loglog
52,0.001028722645732749,loglog
53,0.000833620074990331,loglog
54,0.0006385175042479145,loglog
55,0.0006349701847798706,loglog
56,0.0008087888387140234,loglog
57,0.0006243282263757387,loglog
58,0.0004185836972291894,loglog
59,0.0003902051414848375,loglog
60,0.0007945995608418477,loglog
61,0.001103216354561674,loglog
62,0.0008797352280749022,loglog
63,0.0006207809069076948,loglog
64,0.00036182658574048556,loglog
65,0.00044696225297354133,loglog
66,0.0003405426689322216,loglog
67,0.0003902051414848375,loglog
68,0.0003050694742517817,loglog
69,0.0002695962795713418,loglog
70,0.0002766909185074298,loglog
71,0.0003086167937198257,loglog
72,0.0003476373078683096,loglog
73,0.00022348112648677007,loglog
74,0.0001915552512743744,loglog
75,0.00032635339106004566,loglog
76,0.00023767040435894592,loglog
77,0.00025895432116720984,loglog
78,0.00021283916808263818,loglog
79,0.00023412308489090196,loglog
80,0.00025895432116720984,loglog
81,0.00016672401499806666,loglog
82,0.00014544009818980288,loglog
83,0.00015962937606197873,loglog
84,0.0001241561813815391,loglog
85,0.00016672401499806666,loglog
86,0.00011706154244545114,loglog
87,0.00010287226457327524,loglog
88,0.00011706154244545114,loglog
89,0.00018446061233828647,loglog
90,0.0001241561813815391,loglog
91,0.00015608205659393477,loglog
92,0.0001241561813815391,loglog
93,0.00010996690350936319,loglog
94,9.577762563718728e-05,loglog
95,0.00012770350084958306,loglog
96,0.0001418927787217589,loglog
97,0.00010641958404131921,loglog
98,0.0001241561813815391,loglog
99,0.00029088019637960575,loglog
100,0.00023767040435894592,loglog
101,0.0001631766955300227,loglog
102,6.739906989283547e-05,loglog
103,9.22303061691433e-05,loglog
104,9.932494510523126e-05,loglog
105,0.00015962937606197873,loglog
106,7.80410282969674e-05,loglog
107,6.739906989283547e-05,loglog
108,9.22303061691433e-05,loglog
109,6.739906989283547e-05,loglog
110,8.513566723305535e-05,loglog
111,3.90205141484837e-05,loglog
112,8.868298670109933e-05,loglog
113,7.094638936087944e-05,loglog
114,0.00010287226457327524,loglog
115,5.320979202065958e-05,loglog
116,5.675711148870355e-05,loglog
117,6.385175042479149e-05,loglog
118,2.8378555744351785e-05,loglog
119,6.030443095674752e-05,loglog
120,5.675711148870355e-05,loglog
121,5.675711148870355e-05,loglog
122,7.80410282969674e-05,loglog
123,6.030443095674752e-05,loglog
124,5.320979202065958e-05,loglog
125,3.192587521239576e-05,loglog
126,2.8378555744351785e-05,loglog
127,5.320979202065958e-05,loglog
128,7.094638936087944e-05,loglog
129,3.90205141484837e-05,loglog
130,2.8378555744351785e-05,loglog
131,4.256783361652767e-05,loglog
132,3.192587521239576e-05,loglog
133,2.8378555744351785e-05,loglog
134,3.547319468043973e-05,loglog
135,1.7736597340219864e-05,loglog
136,2.8378555744351785e-05,loglog
137,2.8378555744351785e-05,loglog
138,1.7736597340219864e-05,loglog
139,1.418927787217589e-05,loglog
140,1.7736597340219864e-05,loglog
141,3.90205141484837e-05,loglog
142,1.7736597340219864e-05,loglog
143,2.1283916808263838e-05,loglog
144,3.547319468043973e-05,loglog
145,2.483123627630781e-05,loglog
146,3.192587521239576e-05,loglog
147,1.418927787217589e-05,loglog
148,3.547319468043973e-05,loglog
149,3.547319468043973e-05,loglog
150,4.611515308457164e-05,loglog
151,2.1283916808263838e-05,loglog
152,2.8378555744351785e-05,loglog
153,2.1283916808263838e-05,loglog
154,3.5473194680439727e-06,loglog
155,1.7736597340219864e-05,loglog
156,8.513566723305535e-05,loglog
157,7.449370882892342e-05,loglog
158,3.90205141484837e-05,loglog
159,2.1283916808263838e-05,loglog
160,2.8378555744351785e-05,loglog
161,1.418927787217589e-05,loglog
162,7.094638936087945e-06,loglog
163,1.418927787217589e-05,loglog
164,2.1283916808263838e-05,loglog
165,2.483123627630781e-05,loglog
166,7.094638936087945e-06,loglog
167,1.418927787217589e-05,loglog
168,2.8378555744351785e-05,loglog
169,1.7736597340219864e-05,loglog
170,2.8378555744351785e-05,loglog
171,1.0641958404131917e-05,loglog
172,3.5473194680439727e-06,loglog
173,1.0641958404131917e-05,loglog
174,3.5473194680439727e-06,loglog
175,7.094638936087945e-06,loglog
176,1.7736597340219864e-05,loglog
177,7.094638936087945e-06,loglog
178,3.5473194680439727e-06,loglog
179,1.0641958404131917e-05,loglog
180,1.418927787217589e-05,loglog
181,7.094638936087945e-06,loglog
182,6.030443095674752e-05,loglog
183,3.90205141484837e-05,loglog
184,7.094638936087945e-06,loglog
185,1.418927787217589e-05,loglog
186,3.5473194680439727e-06,loglog
187,3.5473194680439727e-06,loglog
188,2.1283916808263838e-05,loglog
189,9.577762563718728e-05,loglog
190,8.868298670109933e-05,loglog
191,4.966247255261561e-05,loglog
192,3.192587521239576e-05,loglog
193,3.192587521239576e-05,loglog
194,1.0641958404131917e-05,loglog
195,2.1283916808263838e-05,loglog
196,1.7736597340219864e-05,loglog
197,4.256783361652767e-05,loglog
198,1.7736597340219864e-05,loglog
199,2.8378555744351785e-05,loglog
200,2.8378555744351785e-05,loglog
201,3.547319468043973e-05,loglog
202,3.192587521239576e-05,loglog
203,1.0641958404131917e-05,loglog
204,7.094638936087945e-06,loglog
205,3.547319468043973e-05,loglog
206,7.094638936087945e-06,loglog
207,3.5473194680439727e-06,loglog
208,1.0641958404131917e-05,loglog
209,2.1283916808263838e-05,loglog
210,3.5473194680439727e-06,loglog
211,1.7736597340219864e-05,loglog
212,3.547319468043973e-05,loglog
213,2.483123627630781e-05,loglog
214,1.418927787217589e-05,loglog
215,3.192587521239576e-05,loglog
216,1.7736597340219864e-05,loglog
217,3.5473194680439727e-06,loglog
218,3.5473194680439727e-06,loglog
220,1.418927787217589e-05,loglog
221,2.483123627630781e-05,loglog
222,2.1283916808263838e-05,loglog
223,1.0641958404131917e-05,loglog
224,1.7736597340219864e-05,loglog
225,3.5473194680439727e-06,loglog
226,3.192587521239576e-05,loglog
227,3.192587521239576e-05,loglog
228,1.418927787217589e-05,loglog
229,1.0641958404131917e-05,loglog
230,3.5473194680439727e-06,loglog
231,1.418927787217589e-05,loglog
232,4.256783361652767e-05,loglog
233,3.5473194680439727e-06,loglog
234,4.966247255261561e-05,loglog
235,2.483123627630781e-05,loglog
236,1.418927787217589e-05,loglog
237,1.7736597340219864e-05,loglog
238,3.5473194680439727e-06,loglog
239,1.418927787217589e-05,loglog
240,1.418927787217589e-05,loglog
241,1.0641958404131917e-05,loglog
242,1.7736597340219864e-05,loglog
243,1.418927787217589e-05,loglog
244,3.5473194680439727e-06,loglog
245,2.1283916808263838e-05,loglog
246,7.094638936087945e-06,loglog
247,1.418927787217589e-05,loglog
248,3.192587521239576e-05,loglog
249,7.094638936087945e-06,loglog
250,1.0641958404131917e-05,loglog
251,3.547319468043973e-05,loglog
253,3.5473194680439727e-06,loglog
254,3.5473194680439727e-06,loglog
255,3.5473194680439727e-06,loglog
256,1.0641958404131917e-05,loglog
257,1.0641958404131917e-05,loglog
259,1.0641958404131917e-05,loglog
260,7.094638936087945e-06,loglog
261,3.5473194680439727e-06,loglog
262,1.418927787217589e-05,loglog
263,3.5473194680439727e-06,loglog
264,3.5473194680439727e-06,loglog
265,3.5473194680439727e-06,loglog
266,1.0641958404131917e-05,loglog
267,3.5473194680439727e-06,loglog
268,7.094638936087945e-06,loglog
269,7.094638936087945e-06,loglog
270,1.0641958404131917e-05,loglog
